Action,Target,Timestamp,x_Coordinates,y_Coordinates,browser,browserVersion,microtime,scrnwidth,scrnheight,ipAddress,inputValue,url,starttime,endtime,ctrl,alt,shift,meta,X,Y,scrnheigthipAddress
mousemove,Page,2024-01-20T12:07:27.931Z,,,Chrome,120.0.0.0,26380.0,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:07:27.931Z,,False,False,False,False,721.0,164.0,
mousemove,Page,2024-01-20T12:07:11.761Z,,,Chrome,120.0.0.0,10209.300000190737,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:07:11.761Z,,False,False,False,False,709.0,0.0,
mousemove,Page,2024-01-20T12:07:03.747Z,,,Chrome,120.0.0.0,2196.0,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:07:03.747Z,,False,False,False,False,906.0,2.0,
mousemove,Page,2024-01-20T12:07:03.538Z,,,Chrome,120.0.0.0,1986.7000002861023,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:07:03.747Z,,False,False,False,False,810.0,72.0,
mousemove,Page,2024-01-20T12:07:03.271Z,,,Chrome,120.0.0.0,1719.2000002861023,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:07:03.747Z,,False,False,False,False,830.0,58.0,
mousemove,Page,2024-01-20T12:07:02.660Z,,,Chrome,120.0.0.0,1108.7000002861023,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:07:03.538Z,,False,False,False,False,673.0,50.0,
mousemove,Page,2024-01-20T12:06:51.268Z,,,Chrome,120.0.0.0,41018.2999997139,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:06:51.268Z,,False,False,False,False,659.0,135.0,
mousemove,Page,2024-01-20T12:06:48.127Z,,,Chrome,120.0.0.0,37877.40000009537,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:06:48.127Z,,False,False,False,False,621.0,276.0,
mousemove,Page,2024-01-20T12:06:25.498Z,,,Chrome,120.0.0.0,15253.400000095367,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:06:25.498Z,,False,False,False,False,718.0,79.0,
mousemove,Page,2024-01-20T12:06:17.689Z,,,Chrome,120.0.0.0,7444.5,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T12:06:17.689Z,,False,False,False,False,570.0,146.0,
